domain,concept,concept_en,knhanes_var,knhanes_label,knhanes_years,nhanes_table_J,nhanes_table_P,nhanes_var,nhanes_label,chns_file,chns_var,chns_label,chns_waves,harmonization_notes
exam,허리둘레,Waist circumference (cm),HE_wc,허리둘레,2007-2024,BMX_J,P_BMX,BMXWAIST,Waist circumference (cm),pexam_00,U10,Waist circumference (cm),1993-2011,"Direct match. Central obesity: KR≥90M/85F / US≥102M/88F / CN≥90M/80F (IDF-Asian)"
exam,수축기혈압,Systolic BP (mmHg),HE_sbp,최종 수축기 혈압,2007-2024,BPXO_J,P_BPXO,BPXOSY3,Systolic: Average oscillometric,pexam_00,SYSTOL1-3,Systolic BP 3 readings,1991-2011,"All use average of readings. CHNS: mean(SYSTOL1 SYSTOL2 SYSTOL3)"
exam,이완기혈압,Diastolic BP (mmHg),HE_dbp,최종 이완기 혈압,2007-2024,BPXO_J,P_BPXO,BPXODI3,Diastolic: Average oscillometric,pexam_00,DIASTOL1-3,Diastolic BP 3 readings,1991-2011,"Same protocol. CHNS: mean(DIASTOL1 DIASTOL2 DIASTOL3)"
exam,고혈압,Hypertension status,HE_HP,고혈압 유병여부,2007-2024,BPX_J+BPQ_J,P_BPXO+P_BPQ,BPXOSY3+BPQ020,SBP/DBP + told HBP,pexam_00,U22+U24+BP,Dx + meds + measured BP,1991-2011,"Define uniformly: SBP≥140 or DBP≥90 or U22==1 (diagnosed) or U24==1 (on meds)"
lab,공복혈당,Fasting glucose (mg/dL),HE_glu,공복혈당,2007-2024,BIOPRO_J,P_BIOPRO,LBXSGL,Glucose: refrigerated serum (mg/dL),biomarker_09,GLUCOSE_MG,Blood Glucose (mg/dL),2009,"Direct match. CHNS also has mmol/L version (GLUCOSE). Available 2009 wave only"
lab,당화혈색소,HbA1c (%),HE_HbA1c,당화혈색소,2007-2024,GHB_J,P_GHB,LBXGH,Glycohemoglobin (%),biomarker_09,HbA1c,HbA1c (%),2009,"Direct match. Available 2009 wave only"
lab,당뇨병,Diabetes status,HE_DM,당뇨병 유병여부,2007-2024,GHB_J+BIOPRO_J+DIQ_J,P_GHB+P_BIOPRO+P_DIQ,LBXGH+LBXSGL+DIQ010,HbA1c+FPG+told DM,biomarker_09+pexam_00,GLUCOSE_MG+HbA1c+U24A,Lab+dx,2009,"Define uniformly: FPG≥126 or HbA1c≥6.5 or U24A==1 (diagnosed). CHNS: biomarker only 2009"
lab,총콜레스테롤,Total cholesterol (mg/dL),HE_chol,총콜레스테롤,2007-2024,TCHOL_J,P_TCHOL,LBXTC,Total cholesterol (mg/dL),biomarker_09,TC_MG,Total cholesterol (mg/dL),2009,"Direct match"
lab,HDL콜레스테롤,HDL cholesterol (mg/dL),HE_HDL_st2,HDL-콜레스테롤,2007-2024,HDL_J,P_HDL,LBDHDD,Direct HDL-Cholesterol (mg/dL),biomarker_09,HDL_C_MG,HDL-C (mg/dL),2009,"Direct match"
lab,중성지방,Triglycerides (mg/dL),HE_TG,중성지방,2007-2024,BIOPRO_J,P_BIOPRO,LBXSTR,Triglycerides (mg/dL),biomarker_09,TG_MG,Triglycerides (mg/dL),2009,"Direct match (fasting)"
lab,LDL콜레스테롤,LDL cholesterol (mg/dL),—,없음 (계산값),—,TRIGLY_J,P_TRIGLY,LBDLDL,LDL-cholesterol (mg/dL),biomarker_09,LDL_C_MG,LDL-C (mg/dL),2009,"KR: derive from Friedewald. US: direct or calculated. CN: direct measurement"
lab,AST,AST (IU/L),HE_ast,AST(SGOT),2007-2024,BIOPRO_J,P_BIOPRO,LBXSASSI,AST (IU/L),—,—,Not available,—,"CHNS biomarker panel does not include AST"
lab,ALT,ALT (IU/L),HE_alt,ALT(SGPT),2007-2024,BIOPRO_J,P_BIOPRO,LBXSATSI,ALT (IU/L),biomarker_09,ALT,ALT (U/L),2009,"Direct match"
lab,크레아티닌,Creatinine (mg/dL),HE_crea,혈중크레아티닌,2007-2024,BIOPRO_J,P_BIOPRO,LBXSCR,Creatinine (mg/dL),biomarker_09,CRE_MG,Creatinine (mg/dL),2009,"Direct match (CHNS has both umol/L and mg/dL)"
lab,헤모글로빈,Hemoglobin (g/dL),HE_HB,헤모글로빈,2007-2024,CBC_J,P_CBC,LBXHGB,Hemoglobin (g/dL),biomarker_09,HGB,Hemoglobin (g/L),2009,"CHNS unit is g/L — divide by 10 to convert to g/dL"
lab,백혈구,WBC (10³/µL),HE_WBC,백혈구,2007-2024,CBC_J,P_CBC,LBXWBCSI,WBC (1000 cells/µL),biomarker_09,WBC,WBC (x10^9 cells/L),2009,"Direct match (same unit: 10^3/µL = 10^9/L)"
lab,hsCRP,hsCRP (mg/L),HE_hsCRP,고감도CRP,2007-2024,HSCRP_J,P_HSCRP,LBXHSCRP,HS CRP (mg/L),biomarker_09,HS_CRP,High-sensitivity CRP (mg/L),2009,"Direct match"
questionnaire,우울증(PHQ-9),Depression (PHQ-9),BP_PHQ_1~9 / mh_PHQ_S,PHQ-9 문항1-9 / 총점,2014/16/18/20/22/24 (even years),DPQ_J,P_DPQ,DPQ010~DPQ090,PHQ-9 items,—,—,CES-D (NOT in this download),—,"CRITICAL: KR/US use identical PHQ-9. CHNS uses CES-D — NOT in current download. Need separate CHNS CES-D dataset from cpc.unc.edu. For 3-country: use binary depression cutoff as sensitivity analysis"
questionnaire,흡연상태,Smoking status,BS3_1,현재흡연여부,2007-2024,SMQ_J,P_SMQ,SMQ020+SMQ040,Smoked 100 cigs + now smoke,pexam_00,U25+U27,Ever smoked + Still smokes,1989-2011,"Derive: never(U25==0)/former(U25==1 & U27==0)/current(U25==1 & U27==1). KNHANES BS3_1 (not BS1_1)"
questionnaire,음주빈도,Alcohol frequency,BD1_11,1년간 음주빈도,2007-2024,ALQ_J,P_ALQ,ALQ121,Past 12 mo how often drink,pexam_00,U40+U41,Drank last year + frequency,1989-2011,"CHNS U40: 0=no 1=yes. U41: 1=almost daily 2=3-4x/wk 3=1-2x/wk 4=1-2x/mo 5=<1x/mo. Recode to: never(U40==0) / occasional(U41≥4) / frequent(U41≤3)"
questionnaire,신체활동,Physical activity,pa_aerobic,유산소 신체활동,2007-2024,PAQ_J,P_PAQ,PAQ605+PAQ620,Vigorous/moderate activity,—,—,Not in biomarker wave,—,"CHNS has PA in some waves but not aligned with biomarker 2009. Omit for 3-country biomarker analysis"
questionnaire,당뇨진단,Diabetes diagnosis,DE1_dg,당뇨병 의사진단,2007-2024,DIQ_J,P_DIQ,DIQ010,Doctor told diabetes,pexam_00,U24A,Diagnosed with diabetes (0/1),1997-2011,"Direct match (yes/no). CHNS: 0=no 1=yes 9=don't know"
questionnaire,고혈압진단,Hypertension diagnosis,DI1_dg,고혈압 의사진단,2007-2024,BPQ_J,P_BPQ,BPQ020,Ever told high BP,pexam_00,U22,Diagnosed with HBP (0/1),1991-2011,"Direct match. CHNS: 0=no 1=yes 9=don't know"
questionnaire,주관적건강,Self-rated health,D_1_1,주관적 건강상태,2007-2024,HUQ_J,P_HUQ,HUQ010,General health condition,pexam_00,U48A,Current health status (self-report),2004-2011,"All use Likert scale. Cultural response bias — report as supplementary"
questionnaire,체중조절,Weight control attempt,BO2_1,체중조절여부,2007-2024,WHQ_J,P_WHQ,WHQ150,Tried to lose weight,—,—,Not available,—,"CHNS: not in standard questionnaire"
questionnaire,수면시간,Sleep duration,Total_slp_wk,주중 수면시간,2007-2024,SLQ_J,P_SLQ,SLD012,Sleep hours weekdays,—,—,Not in standard download,—,"CHNS: sleep data in time-use file but not aligned with biomarker wave"
survey_design,가중치안내,Weight guidance,—,—,—,—,—,—,—,—,—,—,—,"CRITICAL: Never pool raw data across countries. Analyze each country separately with own survey design then compare estimates."
survey_design,복합표본(한국),Complex survey (Korea),kstrata+psu+wt_itvex,층+집락+가중치,—,—,—,—,—,—,—,—,—,"svydesign(id=~psu, strata=~kstrata, weights=~wt_pooled, nest=TRUE). wt_pooled=wt_itvex/N_years"
survey_design,복합표본(미국),Complex survey (US),—,—,—,DEMO_J,P_DEMO,SDMVSTRA+SDMVPSU+WTMEC2YR/WTMECPRP,Strata+PSU+Weight,—,—,—,—,"Single cycle: WTMEC2YR. Pre-pandemic: WTMECPRP. svydesign(id=~SDMVPSU, strata=~SDMVSTRA, weights=~weight, nest=TRUE)"
survey_design,복합표본(중국),Complex survey (China),—,—,—,—,—,—,—,pexam_00/hlth_12,COMMID,Community cluster,1989-2015,"CHNS: no formal survey weights. Use communityID as cluster. svydesign(id=~COMMID, weights=~1) or glm with cluster-robust SE"
survey_design,비만기준차이,Obesity cutoffs by country,—,—,—,—,—,—,—,—,—,—,—,"KR: BMI≥25 (KSSO). US: BMI≥30 (CDC/WHO). CN: BMI≥28 (WGOC). Central obesity: KR≥90M/85F. US≥102M/88F. CN≥90M/80F (IDF-Asian)"
survey_design,우울증도구차이,Depression instrument difference,—,—,—,—,—,—,—,—,—,—,—,"KR/US: PHQ-9 (identical, directly comparable). CN: CES-D (not directly comparable, not in current download). For 3-country comparison: use binary depression (cutoff-based) as sensitivity analysis or omit CN depression"
